samples,data,cell.type,condition,duration,Gene,quantile
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ACSF3,0.11706092028515878
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ACSS2,0.1530703175631886
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ADAM11,0.8228289047310434
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ALDOA,0.9303710304601426
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ATXN1L,0.7971484121840571
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,BAZ2B,0.7870625405055087
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,BTBD17,0.3838302009073234
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,CBS,0.6102559948152949
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,CDO1,0.990602721970188
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,CLUAP1,0.8762556707712249
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,COLQ,0.16088788075178223
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,CRISP2,NA
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,CTSB,0.8370058327932599
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,DRAM2,0.8043583927414129
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,DUSP11,0.8798201555411536
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,EEF2K,0.6865683732987686
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,EGLN2,0.06578094620868438
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ENDOU,0.40955119896305897
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ENO4,0.7007047958522359
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ETHE1,0.0817401166558652
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,FAM162B,0.9739549578742709
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,FAXC,0.2926928062216461
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,FRY,0.7058084899546339
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,FUT5,0.5952284510693454
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,GALE,0.22845106934543097
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,GAPDH,0.9560515230071289
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,GBE1,0.990400194426442
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,GLUL,0.09838788075178224
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,HAO2,NA
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,HDAC3,0.8033052495139339
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,HIGD2B,0.438350615683733
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,HPGDS,0.5228451069345431
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,KATNAL1,0.8602154893065457
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,KDM1A,0.0897602073882048
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,KDM4A,0.1522197018794556
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,KMT5A,0.23055735580038886
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,LDHA,0.9543097861309138
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,LMF1,0.12990116655865197
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,LPGAT1,0.30504698639014904
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,MARCO,0.4623703823720026
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,MCEE,0.9400923525599482
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,MDH1,0.6222051198963059
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,MDH2,0.15047796500324043
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,NADK2,0.6134559300064809
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,NDRG1,0.9666234607906675
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,NFE2L1,0.9560920285158782
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,NFYA,0.27511341542449774
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,NR5A2,0.16955605962410888
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,NT5C3A,0.8583927414128322
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,OSGIN1,0.909753726506805
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,OVCH2,0.276450097213221
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,P4HA3,0.9006399870382372
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,PCCA,0.3281351263771873
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,PCCB,0.06177090084251458
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,PCK2,0.6758344134802333
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,PHGDH,0.8189403758911212
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,PHYH,0.32639338950097213
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,PNPO,0.07870220349967595
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,PSAT1,0.9126296176279974
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,PSPH,0.9404163966299417
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,RNF26,0.12609364873622814
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,SBK1,0.1414452365521711
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,SDHA,0.1678143227478937
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,SFTPD,0.7920447180816591
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,SLC25A10,0.02973104342190538
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,SLC26A10,0.5497407647440052
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,SLC7A6,0.4027462734931951
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,SQOR,0.19385936487362282
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,TDRD15,NA
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,TMLHE,0.8401652624756967
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,TPI1,0.9153839922229423
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,TST,0.011503564484769928
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,UNKL,0.5799173687621516
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,WNT4,0.225899222294232
E-MTAB-5801_intestinal organoid cell_unknown_unknown,E-MTAB-5801,intestinal organoid cell,unknown,unknown,ZACN,0.06642903434867142
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,ACSF3,0.7493551348751804
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,ACSS2,0.89109430332706685
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,ADAM11,0.8791588335592183
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,ALDOA,0.9850915927075591
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,ATXN1L,0.6004022209592096
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,BAZ2B,0.19280374240370743
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,BTBD17,0.5775805534910156
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,CBS,0.7417916320552617
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,CDO1,0.3736720150395663
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,CLUAP1,0.17496611725615355
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,COLQ,0.18803829843046388
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,CRISP2,NA
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,CTSB,0.9627508416036374
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,DRAM2,0.9140034101342194
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,DUSP11,0.3278100817557819
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,EEF2K,0.8022122152756526
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,EGLN2,0.47129803698684036
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,ENDOU,0.3685568137104884
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,ENO4,0.7354085603112841
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,ETHE1,0.4386394438858042
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,FAM162B,0.927119310978009
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,FAXC,0.04669260700389105
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,FRY,0.12372666462641542
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,FUT5,NA
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,GALE,0.9397105757880471
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,GAPDH,0.9909937480872645
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,GBE1,0.9866217811393346
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,GLUL,0.9698771477287632
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,HAO2,0.6669872775761815
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,HDAC3,0.962969439951034
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,HIGD2B,0.6314869059589909
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,HPGDS,NA
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,KATNAL1,0.7536396624841516
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,KDM1A,0.2558037861233769
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,KDM4A,0.27412232763520306
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,KMT5A,0.04450662352992611
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,LDHA,0.9839986009705767
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,LMF1,0.9589909500284178
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,LPGAT1,0.15787172648974773
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,MARCO,NA
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,MCEE,0.8874655707602851
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,MDH1,0.16206881475976043
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,MDH2,0.8106063918156778
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,NADK2,0.3230446377825384
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,NDRG1,0.9989070082630175
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,NFE2L1,0.9234905784112272
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,NFYA,0.20207231233331877
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,NR5A2,0.27818825689677784
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,NT5C3A,0.02697503606872732
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,OSGIN1,0.04105276964106151
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,OVCH2,NA
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,P4HA3,0.8170331832291348
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,PCCA,0.38355266034188784
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,PCCB,0.8359638001136711
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,PCK2,0.9277313863507192
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,PHGDH,0.6823766012328947
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,PHYH,0.343767761115726
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,PNPO,0.015301884317754557
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,PSAT1,0.01141083373409697
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,PSPH,0.10964893105408123
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,RNF26,0.7364141127093079
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,SBK1,0.5970795260787829
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,SDHA,0.9536571503519433
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,SFTPD,0.5586499366064792
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,SLC25A10,0.15502994797359332
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,SLC26A10,0.9013247059852227
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,SLC7A6,0.15651641673588948
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,SQOR,0.44510995496874045
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,TDRD15,NA
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,TMLHE,0.9340270187557382
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,TPI1,0.9850478730380798
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,TST,0.7010886197700346
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,UNKL,0.07978839679972019
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,WNT4,0.43684693743715297
E-MTAB-6087_93T449_1% O2_24h,E-MTAB-6087,93T449,1% O2,24h,ZACN,0.2627114939011061
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,ACSF3,0.18224531285294782
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,ACSS2,0.2668624350576011
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,ADAM11,0.5509826067314209
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,ALDOA,0.989247797605602
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,ATXN1L,0.1749265868533996
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,BAZ2B,0.8243957533318275
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,BTBD17,NA
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,CBS,0.266229952563813
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,CDO1,0.7589789925457421
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,CLUAP1,0.8963632256607184
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,COLQ,0.5864919810255251
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,CRISP2,0.634967246442286
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,CTSB,0.9564038852496047
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,DRAM2,0.9785859498531737
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,DUSP11,0.5252767110910324
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,EEF2K,0.1646713349898351
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,EGLN2,0.0988931556358708
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,ENDOU,NA
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,ENO4,0.49627287101874856
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,ETHE1,0.2148181612830359
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,FAM162B,0.5676530381748363
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,FAXC,0.06370002258866049
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,FRY,0.41310142308561104
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,FUT5,0.4003162412468941
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,GALE,0.7868533995934041
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,GAPDH,0.9728936074090806
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,GBE1,0.9945335441608313
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,GLUL,0.044725547775016944
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,HAO2,NA
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,HDAC3,0.9543257284843009
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,HIGD2B,0.5923650327535577
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,HPGDS,NA
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,KATNAL1,0.9477298396205105
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,KDM1A,0.7282584142760334
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,KDM4A,0.10042918454935622
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,KMT5A,0.16299977411339509
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,LDHA,0.9924553873955274
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,LMF1,0.52098486559747
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,LPGAT1,0.13241472780664107
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,MARCO,NA
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,MCEE,0.21133950756720127
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,MDH1,0.8116105714931104
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,MDH2,0.27544612604472557
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,NADK2,0.8350576010842558
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,NDRG1,0.9978766659137113
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,NFE2L1,0.6534899480460808
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,NFYA,0.3394623898802801
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,NR5A2,0.5222046532640614
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,NT5C3A,0.2952789699570815
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,OSGIN1,0.1046758527219336
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,OVCH2,0.43980121978766656
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,P4HA3,0.24974023040433702
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,PCCA,0.8982154958210978
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,PCCB,0.11393720352383103
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,PCK2,0.16503275355771402
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,PHGDH,0.729071606053761
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,PHYH,0.8409306528122882
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,PNPO,0.06754009487237407
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,PSAT1,0.02502823582561554
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,PSPH,0.017709509826067314
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,RNF26,0.08637903772306302
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,SBK1,0.4426473910097131
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,SDHA,0.7878473006550711
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,SFTPD,NA
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,SLC25A10,0.11524734583239214
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,SLC26A10,0.7893833295685566
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,SLC7A6,0.0761689631804834
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,SQOR,0.8791506663654846
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,TDRD15,0.4003162412468941
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,TMLHE,0.8983510277840524
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,TPI1,0.9837813417664333
E-MTAB-6087_HT1080_1% O2_24h,E-MTAB-6087,HT1080,1% O2,24h,TST,0.04350576010842557
