Gene,pvalue
WBGene00173110,1
WBGene00171780,1
WBGene00195750,1
WBGene00200775,1
WBGene00200458,1
WBGene00014349,1
WBGene00196143,1
WBGene00199530,1
WBGene00200343,1
WBGene00170483,1
WBGene00198040,1
WBGene00200947,1
WBGene00168864,1
WBGene00196105,1
WBGene00197188,1
WBGene00200764,1
WBGene00200134,1
WBGene00047557,1
WBGene00165410,1
WBGene00173270,1
WBGene00046313,1
WBGene00166673,1
WBGene00171224,1
WBGene00050641,1
WBGene00168317,1
WBGene00200966,1
WBGene00201282,1
WBGene00167967,1
WBGene00173463,1
WBGene00049460,1
WBGene00167551,1
WBGene00166052,1
WBGene00167300,1
WBGene00174524,1
WBGene00167674,1
WBGene00050755,1
WBGene00171203,1
WBGene00169438,1
WBGene00172580,1
WBGene00049544,1
WBGene00172151,1
WBGene00047969,1
WBGene00173965,1
WBGene00045707,1
WBGene00169791,1
WBGene00050590,1
WBGene00174426,1
WBGene00196225,1
WBGene00005216,1
WBGene00015438,1
WBGene00023143,1
WBGene00199147,1
WBGene00044923,1
WBGene00198491,1
WBGene00201797,1
WBGene00196127,1
WBGene00012050,1
WBGene00009421,1
WBGene00077638,1
WBGene00199294,1
WBGene00199034,1
WBGene00201132,1
WBGene00199231,1
WBGene00202068,1
WBGene00196675,1
WBGene00202174,1
WBGene00195789,1
WBGene00199399,1
WBGene00201799,1
WBGene00197200,1
WBGene00201516,1
WBGene00195447,1
WBGene00198714,1
WBGene00198206,1
WBGene00009362,1
WBGene00002098,1
WBGene00196575,1
WBGene00044199,1
WBGene00007359,1
WBGene00199106,1
WBGene00201994,1
WBGene00005327,1
WBGene00006021,1
WBGene00219662,1
WBGene00198775,1
WBGene00006257,1
WBGene00195174,1
WBGene00006162,1
WBGene00012419,1
WBGene00195815,1
WBGene00195994,1
WBGene00173198,1
WBGene00006260,1
WBGene00045910,1
WBGene00003663,1
WBGene00021709,1
WBGene00009197,1
WBGene00014484,1
WBGene00006274,1
WBGene00005868,1
WBGene00199095,1
WBGene00005257,1
WBGene00008872,1
WBGene00005268,1
WBGene00201466,1
WBGene00021801,1
WBGene00043065,1
WBGene00077725,1
WBGene00008896,1
WBGene00046433,1
WBGene00196888,1
WBGene00166747,1
WBGene00220113,1
WBGene00198597,1
WBGene00170171,1
WBGene00005562,1
WBGene00047104,1
WBGene00005586,1
WBGene00197099,1
WBGene00015411,1
WBGene00044380,1
WBGene00014343,1
WBGene00200430,1
WBGene00044458,1
WBGene00021990,1
WBGene00016813,1
WBGene00021141,1
WBGene00014125,1
WBGene00198566,1
WBGene00005863,1
WBGene00166995,1
WBGene00007311,1
WBGene00001968,1
WBGene00220227,1
WBGene00018227,1
WBGene00199557,1
WBGene00077688,1
WBGene00005886,1
WBGene00043058,1
WBGene00202033,1
WBGene00198267,1
WBGene00047717,1
WBGene00219764,1
WBGene00022577,1
WBGene00008249,1
WBGene00196640,1
WBGene00044424,1
WBGene00005981,1
WBGene00018436,1
WBGene00005162,1
WBGene00196595,1
WBGene00044443,1
WBGene00049392,1
WBGene00015196,1
WBGene00199513,1
WBGene00012475,1
WBGene00235367,1
WBGene00174803,1
WBGene00047675,1
WBGene00005440,1
WBGene00200161,1
WBGene00197827,1
WBGene00019098,1
WBGene00017968,1
WBGene00045198,1
WBGene00010153,1
WBGene00023253,1
WBGene00008011,1
WBGene00014932,1
WBGene00206388,1
WBGene00185005,1
WBGene00005908,1
WBGene00171754,1
WBGene00007539,1
WBGene00197898,1
WBGene00004173,1
WBGene00008328,1
WBGene00199300,1
WBGene00015534,1
WBGene00021610,1
WBGene00005305,1
WBGene00014800,1
WBGene00173487,1
WBGene00006097,1
WBGene00018506,1
WBGene00077616,1
WBGene00020006,1
WBGene00007517,1
WBGene00003534,1
WBGene00048139,1
WBGene00196710,1
WBGene00201896,1
WBGene00200311,1
WBGene00013932,1
WBGene00206393,1
WBGene00174067,1
WBGene00013368,1
WBGene00019908,1
WBGene00004230,1
WBGene00016805,1
WBGene00077584,1
WBGene00196046,1
WBGene00165004,1
WBGene00017937,1
WBGene00021708,1
WBGene00005758,1
WBGene00044381,1
WBGene00021850,1
WBGene00044215,1
WBGene00016371,1
WBGene00196711,1
WBGene00044775,1
WBGene00167637,1
WBGene00018557,1
WBGene00045268,1
WBGene00016082,1
WBGene00046694,1
WBGene00015521,1
WBGene00196467,1
WBGene00021898,1
WBGene00174946,1
WBGene00045378,1
WBGene00020547,1
WBGene00022370,1
WBGene00198598,1
WBGene00011938,1
WBGene00219837,1
WBGene00001391,1
WBGene00022040,1
WBGene00044307,1
WBGene00009194,1
WBGene00196471,1
WBGene00012311,1
WBGene00001756,1
WBGene00003571,1
WBGene00012422,1
WBGene00022262,1
WBGene00044356,1
WBGene00012546,1
WBGene00021120,1
WBGene00020595,1
WBGene00022827,1
WBGene00007365,1
WBGene00016046,1
WBGene00011838,1
WBGene00021226,1
WBGene00001854,1
WBGene00021091,1
WBGene00195050,1
WBGene00001773,1
WBGene00017666,1
WBGene00007868,1
WBGene00020703,1
WBGene00019348,1
WBGene00014044,1
WBGene00017843,1
WBGene00007811,1
WBGene00018737,1
WBGene00044391,1
WBGene00199005,1
WBGene00012211,1
WBGene00199384,1
WBGene00010321,1
WBGene00000745,1
WBGene00010010,1
WBGene00023276,1
WBGene00198620,1
WBGene00045188,1
WBGene00020186,1
WBGene00017724,1
WBGene00020983,1
WBGene00008388,1
WBGene00003714,1
WBGene00009991,1
WBGene00050934,1
WBGene00015426,1
WBGene00017664,1
WBGene00021602,1
WBGene00022611,1
WBGene00021484,1
WBGene00005937,1
WBGene00016049,1
WBGene00001501,1
WBGene00044901,1
WBGene00018571,1
WBGene00011645,1
WBGene00010187,1
WBGene00006674,1
WBGene00195209,1
WBGene00011360,1
WBGene00013385,1
WBGene00006008,1
WBGene00003529,1
WBGene00013650,1
WBGene00008150,1
WBGene00006179,1
WBGene00018027,1
WBGene00011164,1
WBGene00045295,1
WBGene00011393,1
WBGene00008247,1
WBGene00006541,1
WBGene00045051,1
WBGene00007507,1
WBGene00007925,1
WBGene00219984,1
WBGene00044530,1
WBGene00044367,1
WBGene00021075,1
WBGene00002393,1
WBGene00011192,1
WBGene00015821,1
WBGene00016025,1
WBGene00012586,1
WBGene00014162,1
WBGene00005989,1
WBGene00008732,1
WBGene00017488,1
WBGene00044573,1
WBGene00195004,1
WBGene00004008,1
WBGene00010714,1
WBGene00016694,1
WBGene00005976,1
WBGene00003976,1
WBGene00044551,1
WBGene00077522,1
WBGene00044663,1
WBGene00005281,1
WBGene00020626,1
WBGene00005716,1
WBGene00200041,1
WBGene00008621,1
WBGene00022886,1
WBGene00015645,1
WBGene00008813,1
WBGene00235161,1
WBGene00020741,1
WBGene00011844,1
WBGene00015368,1
WBGene00219236,1
WBGene00044554,1
WBGene00000668,1
WBGene00008647,1
WBGene00007214,1
WBGene00007437,1
WBGene00012213,1
WBGene00011530,1
WBGene00022231,1
WBGene00019514,1
WBGene00020748,1
WBGene00007659,1
WBGene00019335,1
WBGene00198936,1
WBGene00044571,1
WBGene00019977,1
WBGene00219932,1
WBGene00017438,1
WBGene00021189,1
WBGene00220018,1
WBGene00012294,1
WBGene00010017,1
WBGene00020666,1
WBGene00013699,1
WBGene00048238,1
WBGene00008847,1
WBGene00001913,1
WBGene00196410,1
WBGene00005183,1
WBGene00011025,1
WBGene00011264,1
WBGene00009961,1
WBGene00013986,1
WBGene00169734,1
WBGene00022563,1
WBGene00044998,1
WBGene00013624,1
WBGene00010573,1
WBGene00021706,1
WBGene00008193,1
WBGene00009844,1
WBGene00018543,1
WBGene00021585,1
WBGene00006207,1
WBGene00009418,1
WBGene00000715,1
WBGene00201960,1
WBGene00008180,1
WBGene00010403,1
WBGene00007420,1
WBGene00005631,1
WBGene00021529,1
WBGene00012832,1
WBGene00022451,1
WBGene00020445,1
WBGene00016022,1
WBGene00001476,1
WBGene00013298,1
WBGene00000712,1
WBGene00021740,1
WBGene00019236,1
WBGene00201202,1
WBGene00044264,1
WBGene00018353,1
WBGene00044360,1
WBGene00021947,1
WBGene00015587,1
WBGene00219682,1
WBGene00012007,1
WBGene00005206,1
WBGene00005900,1
WBGene00022671,1
WBGene00021122,1
WBGene00022927,1
WBGene00020704,1
WBGene00044296,1
WBGene00017263,1
WBGene00013173,1
WBGene00010934,1
WBGene00017305,1
WBGene00012729,1
WBGene00010262,1
WBGene00019794,1
WBGene00007425,1
WBGene00009316,1
WBGene00022070,1
WBGene00198214,1
WBGene00017301,1
WBGene00013653,1
WBGene00172966,1
WBGene00000698,1
WBGene00077615,1
WBGene00016088,1
WBGene00015883,1
WBGene00011692,1
WBGene00005620,1
WBGene00009889,1
WBGene00006435,1
WBGene00005299,1
WBGene00012798,1
WBGene00010525,1
WBGene00018057,1
WBGene00021837,1
WBGene00006106,1
WBGene00013980,1
WBGene00017052,1
WBGene00013417,1
WBGene00007999,1
WBGene00017819,1
WBGene00197501,1
WBGene00015340,1
WBGene00014886,1
WBGene00009428,1
WBGene00019022,1
WBGene00015182,1
WBGene00012175,1
WBGene00011153,1
WBGene00165356,1
WBGene00021594,1
WBGene00022282,1
WBGene00206483,1
WBGene00013852,1
WBGene00010291,1
WBGene00005383,1
WBGene00000639,1
WBGene00019973,1
WBGene00012212,1
WBGene00017404,1
WBGene00022239,1
WBGene00009540,1
WBGene00001554,1
WBGene00017560,1
WBGene00045507,1
WBGene00007073,1
WBGene00011314,1
WBGene00013649,1
WBGene00006665,1
WBGene00077714,1
WBGene00044244,1
WBGene00016669,1
WBGene00000657,1
WBGene00016361,1
WBGene00016242,1
WBGene00004000,1
WBGene00018523,1
WBGene00195407,1
WBGene00007241,1
WBGene00007754,1
WBGene00194982,1
WBGene00023414,1
WBGene00019919,1
WBGene00196086,1
WBGene00017420,1
WBGene00021480,1
WBGene00005552,1
WBGene00011049,1
WBGene00021788,1
WBGene00022160,1
WBGene00019795,1
WBGene00012405,1
WBGene00009900,1
WBGene00047399,1
WBGene00005726,1
WBGene00008261,1
WBGene00019300,1
WBGene00006666,1
WBGene00008435,1
WBGene00018256,1
WBGene00016196,1
WBGene00198245,1
WBGene00020648,1
WBGene00000233,1
WBGene00021095,1
WBGene00021731,1
WBGene00172399,1
WBGene00020365,1
WBGene00077562,1
WBGene00012346,1
WBGene00005574,1
WBGene00206505,1
WBGene00006673,1
WBGene00011921,1
WBGene00008327,1
WBGene00000860,1
WBGene00196814,1
WBGene00006287,1
WBGene00004231,1
WBGene00014543,1
WBGene00012491,1
WBGene00010738,1
WBGene00013393,1
WBGene00008602,1
WBGene00009230,1
WBGene00013497,1
WBGene00001954,1
WBGene00007938,1
WBGene00018492,1
WBGene00016925,1
WBGene00009257,1
WBGene00044962,1
WBGene00015968,1
WBGene00022544,1
WBGene00021326,1
WBGene00021309,1
WBGene00006083,1
WBGene00001592,1
WBGene00011671,1
WBGene00010463,1
WBGene00004232,1
WBGene00049572,1
WBGene00220009,1
WBGene00219816,1
WBGene00044093,1
WBGene00220188,1
WBGene00017622,1
WBGene00016227,1
WBGene00021279,1
WBGene00016473,1
WBGene00012140,1
WBGene00005085,1
WBGene00219905,1
WBGene00000713,1
WBGene00219829,1
WBGene00195241,1
WBGene00010183,1
WBGene00185055,1
WBGene00021005,1
WBGene00021802,1
WBGene00010085,1
WBGene00010135,1
WBGene00000988,1
WBGene00008472,1
WBGene00007691,1
WBGene00013263,1
WBGene00044183,1
WBGene00000642,1
WBGene00195256,1
WBGene00007994,1
WBGene00005879,1
WBGene00019285,1
WBGene00020882,1
WBGene00012403,1
WBGene00008809,1
WBGene00019265,1
WBGene00020149,1
WBGene00021616,1
WBGene00008037,1
WBGene00009998,1
WBGene00005421,1
WBGene00219606,1
WBGene00017254,1
WBGene00194675,1
WBGene00009908,1
WBGene00013573,1
WBGene00044155,1
WBGene00012518,1
WBGene00017071,1
WBGene00016179,1
WBGene00020560,1
WBGene00002104,1
WBGene00011877,1
WBGene00018713,1
WBGene00200715,1
WBGene00044437,1
WBGene00016017,1
WBGene00003298,1
WBGene00001933,1
WBGene00013394,1
WBGene00050970,1
WBGene00201804,1
WBGene00018538,1
WBGene00008747,1
WBGene00044175,1
WBGene00201372,1
WBGene00005398,1
WBGene00009022,1
WBGene00077568,1
WBGene00077629,1
WBGene00011421,1
WBGene00000469,1
WBGene00020793,1
WBGene00014920,1
WBGene00011993,1
WBGene00023459,1
WBGene00199390,1
WBGene00017698,1
WBGene00011011,1
WBGene00008475,1
WBGene00049349,1
WBGene00235272,1
WBGene00014858,1
WBGene00017538,1
WBGene00206532,1
WBGene00011706,1
WBGene00011701,1
WBGene00010505,1
WBGene00022728,1
WBGene00019253,1
WBGene00000778,1
WBGene00000022,1
WBGene00200154,1
WBGene00013398,1
WBGene00003533,1
WBGene00044445,1
WBGene00006071,1
WBGene00017429,1
WBGene00022822,1
WBGene00006955,1
WBGene00013409,1
WBGene00009813,1
WBGene00008301,1
WBGene00006675,1
WBGene00011076,1
WBGene00015321,1
WBGene00011284,1
WBGene00021496,1
WBGene00044220,1
WBGene00021780,1
WBGene00198979,1
WBGene00050899,1
WBGene00016565,1
WBGene00013871,1
WBGene00008152,1
WBGene00020073,1
WBGene00235316,1
WBGene00044125,1
WBGene00008178,1
WBGene00011396,1
WBGene00018761,1
WBGene00197017,1
WBGene00219895,1
WBGene00045075,1
WBGene00021384,1
WBGene00202327,1
WBGene00171941,1
WBGene00008156,1
WBGene00011566,1
WBGene00017611,1
WBGene00219980,1
WBGene00022723,1
WBGene00009537,1
WBGene00001388,1
WBGene00200552,1
WBGene00020745,1
WBGene00195891,1
WBGene00022116,1
WBGene00011325,1
WBGene00003539,1
WBGene00017814,1
WBGene00044665,1
WBGene00201933,1
WBGene00044961,1
WBGene00020613,1
WBGene00000893,1
WBGene00017424,1
WBGene00003879,1
WBGene00174157,1
WBGene00010599,1
WBGene00201125,1
WBGene00017695,1
WBGene00019956,1
WBGene00000493,1
WBGene00023448,1
WBGene00018828,1
WBGene00044368,1
WBGene00017471,1
WBGene00006220,1
WBGene00199778,1
WBGene00020439,1
WBGene00010182,1
WBGene00008797,1
WBGene00011508,1
WBGene00001534,1
WBGene00022587,1
WBGene00235365,1
WBGene00014741,1
WBGene00005234,1
WBGene00018751,1
WBGene00011386,1
WBGene00013408,1
WBGene00021483,1
WBGene00006190,1
WBGene00014037,1
WBGene00005347,1
WBGene00008098,1
WBGene00197410,1
WBGene00006223,1
WBGene00001108,1
WBGene00015636,1
WBGene00000703,1
WBGene00005325,1
WBGene00005087,1
WBGene00007506,1
WBGene00007829,1
WBGene00045269,1
WBGene00005720,1
WBGene00018958,1
WBGene00047252,1
WBGene00016105,1
WBGene00015562,1
WBGene00005766,1
WBGene00013370,1
WBGene00018200,1
WBGene00015476,1
WBGene00044210,1
WBGene00015135,1
WBGene00173294,1
WBGene00010422,1
WBGene00189933,1
WBGene00044617,1
WBGene00196848,1
WBGene00021134,1
WBGene00006629,1
WBGene00008521,1
WBGene00219310,1
WBGene00016063,1
WBGene00020261,1
WBGene00021500,1
WBGene00005176,1
WBGene00199283,1
WBGene00023420,1
WBGene00018558,1
WBGene00044932,1
WBGene00196182,1
WBGene00011855,1
WBGene00001943,1
WBGene00013825,1
WBGene00020396,1
WBGene00006127,1
WBGene00195005,1
WBGene00017525,1
WBGene00235368,1
WBGene00017680,1
WBGene00015739,1
WBGene00170871,1
WBGene00019532,1
WBGene00045367,1
WBGene00019799,1
WBGene00235375,1
WBGene00019331,1
WBGene00000731,1
WBGene00011702,1
WBGene00021966,1
WBGene00007812,1
WBGene00015377,1
WBGene00018418,1
WBGene00005754,1
WBGene00219303,1
WBGene00001430,1
WBGene00202513,1
WBGene00004154,1
WBGene00022612,1
WBGene00194895,1
WBGene00009653,1
WBGene00010368,1
WBGene00019376,1
WBGene00022411,1
WBGene00000621,1
WBGene00013901,1
WBGene00018946,1
WBGene00198467,1
WBGene00012500,1
WBGene00015103,1
WBGene00016712,1
WBGene00045510,1
WBGene00169538,1
WBGene00022249,1
WBGene00017173,1
WBGene00022339,1
WBGene00012273,1
WBGene00016466,1
WBGene00012773,1
WBGene00004225,1
WBGene00020724,1
WBGene00005517,1
WBGene00021479,1
WBGene00007314,1
WBGene00000563,1
WBGene00014773,1
WBGene00219849,1
WBGene00007838,1
WBGene00001914,1
WBGene00009606,1
WBGene00008304,1
WBGene00170398,1
WBGene00009318,1
WBGene00185096,1
WBGene00017336,1
WBGene00020693,1
WBGene00000039,1
WBGene00015588,1
WBGene00008842,1
WBGene00018968,1
WBGene00019837,1
WBGene00044533,1
WBGene00219316,1
WBGene00020849,1
WBGene00005931,1
WBGene00017536,1
WBGene00008231,1
WBGene00019696,1
WBGene00010754,1
WBGene00006902,1
WBGene00015546,1
WBGene00013853,1
WBGene00015455,1
WBGene00045265,1
WBGene00021127,1
WBGene00020384,1
WBGene00044572,1
WBGene00010067,1
WBGene00010256,1
WBGene00013673,1
WBGene00044463,1
WBGene00016523,1
WBGene00219941,1
WBGene00001692,1
WBGene00202499,1
WBGene00009573,1
WBGene00022575,1
WBGene00199171,1
WBGene00019035,1
WBGene00045096,1
WBGene00219315,1
WBGene00018568,1
WBGene00020702,1
WBGene00001428,1
WBGene00004005,1
WBGene00017106,1
WBGene00011698,1
WBGene00015523,1
WBGene00010822,1
WBGene00012325,1
WBGene00197630,1
WBGene00012480,1
WBGene00022018,1
WBGene00195212,1
WBGene00005656,1
WBGene00003979,1
WBGene00011431,1
WBGene00009303,1
WBGene00022112,1
WBGene00019286,1
WBGene00000633,1
WBGene00020855,1
WBGene00013841,1
WBGene00013294,1
WBGene00206384,1
WBGene00007856,1
WBGene00020339,1
WBGene00195000,1
WBGene00016920,1
WBGene00015005,1
WBGene00007657,1
WBGene00013840,1
WBGene00000756,1
WBGene00013898,1
WBGene00015898,1
WBGene00004932,1
WBGene00219663,1
WBGene00045062,1
WBGene00185076,1
WBGene00015905,1
WBGene00013493,1
WBGene00004119,1
WBGene00012396,1
WBGene00014838,1
WBGene00008763,1
WBGene00022564,1
WBGene00016919,1
WBGene00020846,1
WBGene00015365,1
WBGene00002117,1
WBGene00201294,1
WBGene00010893,1
WBGene00016657,1
WBGene00008905,1
WBGene00019518,1
WBGene00012487,1
WBGene00001729,1
WBGene00020559,1
WBGene00000298,1
WBGene00021814,1
WBGene00019906,1
WBGene00015393,1
WBGene00014905,1
WBGene00013949,1
WBGene00021504,1
WBGene00050875,1
WBGene00000721,1
WBGene00010820,1
WBGene00018295,1
WBGene00005267,1
WBGene00022782,1
WBGene00010686,1
WBGene00013965,1
WBGene00012545,1
WBGene00001608,1
WBGene00195226,1
WBGene00009343,1
WBGene00008497,1
WBGene00015180,1
WBGene00010877,1
WBGene00016023,1
WBGene00017791,1
WBGene00044489,1
WBGene00019242,1
WBGene00017149,1
WBGene00000720,1
WBGene00000030,1
WBGene00018201,1
WBGene00003544,1
WBGene00007452,1
WBGene00219827,1
WBGene00201346,1
WBGene00170744,1
WBGene00004352,1
WBGene00017822,1
WBGene00010760,1
WBGene00015879,1
WBGene00018649,1
WBGene00050932,1
WBGene00045394,1
WBGene00005899,1
WBGene00197169,1
WBGene00201074,1
WBGene00018877,1
WBGene00023193,1
WBGene00003104,1
WBGene00007228,1
WBGene00020941,1
WBGene00019198,1
WBGene00001934,1
WBGene00011958,1
WBGene00015218,1
WBGene00022408,1
WBGene00013754,1
WBGene00001796,1
WBGene00003545,1
WBGene00005184,1
WBGene00019486,1
WBGene00008987,1
WBGene00010948,1
WBGene00006431,1
WBGene00044534,1
WBGene00018687,1
WBGene00007288,1
WBGene00219971,1
WBGene00017051,1
WBGene00018176,1
WBGene00197552,1
WBGene00020343,1
WBGene00249808,1
WBGene00010391,1
WBGene00220257,1
WBGene00019718,1
WBGene00008511,1
WBGene00012165,1
WBGene00018941,1
WBGene00219455,1
WBGene00003517,1
WBGene00013090,1
WBGene00011757,1
WBGene00015065,1
WBGene00018116,1
WBGene00016521,1
WBGene00014760,1
WBGene00018263,1
WBGene00005835,1
WBGene00004257,1
WBGene00010855,1
WBGene00009414,1
WBGene00003378,1
WBGene00012464,1
WBGene00006310,1
WBGene00219415,1
WBGene00010237,1
WBGene00199902,1
WBGene00011443,1
WBGene00219436,1
WBGene00077687,1
WBGene00220155,1
WBGene00044537,1
WBGene00011557,1
WBGene00004229,1
WBGene00017781,1
WBGene00005303,1
WBGene00022016,1
WBGene00018969,1
WBGene00011575,1
WBGene00002205,1
WBGene00219377,1
WBGene00013492,1
WBGene00011077,1
WBGene00007660,1
WBGene00015568,1
WBGene00020241,1
WBGene00046336,1
WBGene00001569,1
WBGene00045125,1
WBGene00001429,1
WBGene00198692,1
WBGene00201006,1
WBGene00015589,1
WBGene00197405,1
WBGene00001721,1
WBGene00010345,1
WBGene00007036,1
WBGene00021267,1
WBGene00018572,1
WBGene00010501,1
WBGene00009484,1
WBGene00001434,1
WBGene00001074,1
WBGene00086563,1
WBGene00018880,1
WBGene00015914,1
WBGene00007725,1
WBGene00022743,1
WBGene00009155,1
WBGene00019763,1
WBGene00198498,1
WBGene00013504,1
WBGene00001251,1
WBGene00219238,1
WBGene00000853,1
WBGene00198624,1
WBGene00008093,1
WBGene00009764,1
WBGene00017139,1
WBGene00202496,1
WBGene00198315,1
WBGene00015072,1
WBGene00045373,1
WBGene00007599,1
WBGene00195180,1
WBGene00200874,1
WBGene00000061,1
WBGene00012339,1
WBGene00010327,1
WBGene00011554,1
WBGene00022038,1
WBGene00001961,1
WBGene00014728,1
WBGene00044520,1
WBGene00021463,1
WBGene00010102,1
WBGene00022505,1
WBGene00219691,1
WBGene00195145,1
WBGene00235271,1
WBGene00017233,1
WBGene00197432,1
WBGene00005545,1
WBGene00196546,1
WBGene00018592,1
WBGene00000397,1
WBGene00200538,1
WBGene00020039,1
WBGene00000709,1
WBGene00009836,1
WBGene00011081,1
WBGene00017225,1
WBGene00000492,1
WBGene00017650,1
WBGene00019655,1
WBGene00005852,1
WBGene00010310,1
WBGene00005664,1
WBGene00021711,1
WBGene00020047,1
WBGene00005078,1
WBGene00011286,1
WBGene00195680,1
WBGene00045113,1
WBGene00001549,1
WBGene00019557,1
WBGene00001690,1
WBGene00003641,1
WBGene00020901,1
WBGene00021436,1
WBGene00020826,1
WBGene00022869,1
WBGene00219421,1
WBGene00189949,1
WBGene00138724,1
WBGene00022529,1
WBGene00047130,1
WBGene00000671,1
WBGene00195556,1
WBGene00008284,1
WBGene00021798,1
WBGene00168722,1
WBGene00007366,1
WBGene00016103,1
WBGene00045338,1
WBGene00172169,1
WBGene00008784,1
WBGene00023429,1
WBGene00005764,1
WBGene00020032,1
WBGene00007758,1
WBGene00013283,1
WBGene00011079,1
WBGene00021624,1
WBGene00197078,1
WBGene00206535,1
WBGene00174483,1
WBGene00004153,1
WBGene00015700,1
WBGene00013897,1
WBGene00007462,1
WBGene00011956,1
WBGene00005363,1
WBGene00011797,1
WBGene00195441,1
WBGene00009391,1
WBGene00013220,1
WBGene00010462,1
WBGene00018052,1
WBGene00020281,1
WBGene00044956,1
WBGene00007232,1
WBGene00077439,1
WBGene00198391,1
WBGene00017135,1
WBGene00019439,1
WBGene00018907,1
WBGene00050106,1
WBGene00009806,1
WBGene00197364,1
WBGene00170298,1
WBGene00011650,1
WBGene00201584,1
WBGene00199391,1
WBGene00005980,1
WBGene00202514,1
WBGene00009623,1
WBGene00018248,1
WBGene00020909,1
WBGene00005417,1
WBGene00011833,1
WBGene00001899,1
WBGene00010069,1
WBGene00169831,1
WBGene00020040,1
WBGene00012777,1
WBGene00219929,1
WBGene00019338,1
WBGene00016298,1
WBGene00013665,1
WBGene00020880,1
WBGene00255549,1
WBGene00196851,1
WBGene00015692,1
WBGene00023515,1
WBGene00013155,1
WBGene00014676,1
WBGene00005478,1
WBGene00004839,1
WBGene00011999,1
WBGene00009860,1
WBGene00013438,1
WBGene00016471,1
WBGene00021055,1
WBGene00202281,1
WBGene00219914,1
WBGene00008943,1
WBGene00023465,1
WBGene00018102,1
WBGene00195271,1
WBGene00011435,1
WBGene00005934,1
WBGene00020714,1
WBGene00194784,1
WBGene00009309,1
WBGene00045118,1
WBGene00235163,1
WBGene00001055,1
WBGene00199856,1
WBGene00012482,1
WBGene00045797,1
WBGene00011556,1
WBGene00010813,1
WBGene00201477,1
WBGene00047623,1
WBGene00197296,1
WBGene00170371,1
WBGene00003174,1
WBGene00020538,1
WBGene00005576,1
WBGene00189981,1
WBGene00016832,1
WBGene00173053,1
WBGene00197539,1
WBGene00021582,1
WBGene00003762,1
WBGene00010301,1
WBGene00008474,1
WBGene00198030,1
WBGene00198241,1
WBGene00012246,1
WBGene00001786,1
WBGene00005639,1
WBGene00185014,1
WBGene00019112,1
WBGene00011796,1
WBGene00008257,1
WBGene00201207,1
WBGene00197280,1
WBGene00197966,1
WBGene00019059,1
WBGene00219424,1
WBGene00198770,1
WBGene00200737,1
WBGene00201219,1
WBGene00016895,1
WBGene00196120,1
WBGene00166269,1
WBGene00000700,1
WBGene00008329,1
WBGene00169877,1
WBGene00019709,1
WBGene00005540,1
WBGene00017638,1
WBGene00198681,1
WBGene00200201,1
WBGene00166047,1
WBGene00172727,1
WBGene00005306,1
WBGene00048657,1
WBGene00199886,1
WBGene00044282,1
WBGene00015575,1
WBGene00199899,1
WBGene00198201,1
WBGene00219231,1
WBGene00019469,1
WBGene00197900,1
WBGene00194689,1
WBGene00006557,1
WBGene00206534,1
WBGene00220201,1
WBGene00005377,1
WBGene00005317,1
WBGene00006399,1
WBGene00196092,1
WBGene00006003,1
WBGene00169217,1
WBGene00023413,1
WBGene00010688,1
WBGene00005047,1
WBGene00200700,1
WBGene00199862,1
WBGene00198651,1
WBGene00015569,1
WBGene00050608,1
WBGene00044040,1
WBGene00005896,1
WBGene00199670,1
WBGene00011356,1
WBGene00022308,1
WBGene00005853,1
WBGene00202386,1
WBGene00022476,1
WBGene00195338,1
WBGene00185100,1
WBGene00166059,1
WBGene00219994,1
WBGene00005352,1
WBGene00198093,1
WBGene00005288,1
WBGene00170914,1
WBGene00172222,1
WBGene00219841,1
WBGene00235091,1
WBGene00044117,1
WBGene00196780,1
WBGene00019046,1
WBGene00197633,1
WBGene00219814,1
WBGene00169111,1
WBGene00165639,1
WBGene00174484,1
WBGene00013099,1
WBGene00201319,1
WBGene00201383,1
WBGene00022218,1
WBGene00199831,1
WBGene00198494,1
WBGene00199016,1
WBGene00195683,1
WBGene00195771,1
WBGene00023245,1
WBGene00020863,1
WBGene00020061,1
WBGene00001666,1
WBGene00045029,1
WBGene00017911,1
WBGene00170856,1
WBGene00194737,1
WBGene00005208,1
WBGene00015428,1
WBGene00023308,1
WBGene00219577,1
WBGene00020794,1
WBGene00020351,1
WBGene00008881,1
WBGene00021525,1
WBGene00195862,1
WBGene00199687,1
WBGene00020232,1
WBGene00045068,1
WBGene00020607,1
WBGene00005126,1
WBGene00015924,1
WBGene00010207,1
WBGene00021164,1
WBGene00021230,1
WBGene00219342,1
WBGene00202374,1
WBGene00008668,1
WBGene00196558,1
WBGene00201165,1
WBGene00219458,1
WBGene00077640,1
WBGene00021768,1
WBGene00000649,1
WBGene00006216,1
WBGene00005473,1
WBGene00044630,1
WBGene00020922,1
WBGene00219876,1
WBGene00001720,1
WBGene00018179,1
WBGene00197560,1
WBGene00021576,1
WBGene00023517,1
WBGene00019357,1
WBGene00219423,1
WBGene00019043,1
WBGene00011542,1
WBGene00020240,1
WBGene00220095,1
WBGene00012507,1
WBGene00012238,1
WBGene00018749,1
WBGene00015398,1
WBGene00023475,1
WBGene00003707,1
WBGene00220128,1
WBGene00219656,1
WBGene00167276,1
WBGene00200464,1
WBGene00196347,1
WBGene00017784,1
WBGene00198457,1
WBGene00003642,1
WBGene00199501,1
