Gene,logFC,logCPM,LR,pvalue,padj
WBGene00021006,-0.889500557608304,3.58499665348542,26.8171751293077,2.23640863619217e-7,5.55047020995109e-6
WBGene00009541,0.889168037009185,-0.091206162622724,7.13300632139057,0.0075677737752947,0.0442855508975401
WBGene00002227,-0.888772728985701,4.07377787231183,36.397863192331,1.6087949928021e-9,6.96847514682871e-8
WBGene00017424,0.888630535747514,1.16495578200987,3.00588949748823,0.0829624284488359,0.268821437564108
WBGene00138724,-0.888138257128846,0.104328665444022,4.49513627224066,0.0339914043758484,0.141976608908888
WBGene00018498,-0.887264075932295,2.01847070521153,19.1912042138636,1.18257031986425e-5,1.8207459227381e-4
WBGene00013052,-0.886922634839546,2.90947551189625,21.3421764387613,3.84185384677315e-6,6.75036900227311e-5
WBGene00019236,0.886881676773238,6.16345136162277,3.29611965143504,0.0694437485512227,0.236681102663063
WBGene00022037,0.886669161375117,7.68738549589425,21.1812865822996,4.17824298837151e-6,7.28067484447295e-5
WBGene00015992,-0.886064410798234,4.00831036845972,36.3670010525286,1.6344723331247102e-9,7.06851186718624e-8
WBGene00011617,-0.885555319074488,4.81985625544356,33.833266809048,6.00433097173812e-9,2.24240873603453e-7
WBGene00044163,0.885287140914113,3.41542149869921,4.94086911577511,0.0262288448509736,0.115902280515804
WBGene00001506,0.885153309229218,2.40171004250099,6.95702123735305,0.00834909215096603,0.0477651823683793
WBGene00016730,-0.885038934712582,2.71616289023318,23.8777870689935,1.02649402750064e-6,2.11757905070309e-5
WBGene00009492,-0.884697216766284,4.35236974006736,40.8419612011914,1.6505079659491e-10,9.354587074090411e-9
WBGene00016657,0.884579745721345,2.9892397896017,10.1602775474197,0.00143499016336838,0.0113011667785412
WBGene00022634,-0.884508786010834,4.07564812026106,34.3926563136494,4.5041957602610106e-09,1.74896963031411e-7
WBGene00077539,-0.88430675219714,-0.590347916475156,3.50322891050777,0.0612493021230528,0.215194660558538
WBGene00018745,-0.884163526667974,3.41627893138496,32.6091388221481,1.12683658008107e-8,3.92957342416807e-7
WBGene00000990,0.883620822378657,2.71057499502643,20.9360368603575,4.74876533278625e-6,8.19656059174172e-5
WBGene00003184,0.883486384742513,5.41553125573497,9.77702933251081,0.00176705580280555,0.0135007403298359
WBGene00019812,-0.883481858436514,2.53456763541199,26.1019550717492,3.23855929450288e-7,7.69579519852573e-6
WBGene00006367,0.883357958227566,4.62858823092222,24.5944111087194,7.07566508955667e-7,1.52998682327499e-5
WBGene00021984,-0.883146670276063,4.57944472889083,15.241031713058799,9.46250130325742e-5,0.00113066771356033
WBGene00011793,-0.882562259491782,3.74860291880493,31.1781900364866,2.35395981287521e-8,7.58113527970104e-7
WBGene00006979,-0.882403468824112,2.41163768636556,26.7870502885372,2.27154444165207e-7,5.627468695948e-6
