"","gene","TF","Hits"
"133","21ur-15622","1k-LIN-15B",0
"134","21ur-15622","1k-LIN-39",0
"135","21ur-15622","1k-LIR-3",0
"136","21ur-15622","1k-LSY-2",3
"137","21ur-15622","1k-MDL-1",3
"138","21ur-15622","1k-MEP-1",1
"139","21ur-15622","1k-NHR-10",1
"140","21ur-15622","1k-NHR-102",1
"141","21ur-15622","1k-NHR-11",1
"142","21ur-15622","1k-NHR-116",0
"143","21ur-15622","1k-NHR-237",1
"144","21ur-15622","1k-NHR-25",1
"145","21ur-15622","1k-NHR-28",2
"146","21ur-15622","1k-NHR-48",3
"147","21ur-15622","1k-NHR-6",1
"148","21ur-15622","1k-NHR-76",1
"149","21ur-15622","1k-NHR-77",2
"150","21ur-15622","1k-PHA-4",3
"151","21ur-15622","1k-PQM-1",1
"152","21ur-15622","1k-R02D3.7",0
"153","21ur-15622","1k-R06F6.6",0
"154","21ur-15622","1k-RBR-2",1
"155","21ur-15622","1k-SKN-1",1
"156","21ur-15622","1k-SNPC-4",0
"157","21ur-15622","1k-SPR-1",1
"158","21ur-15622","1k-UNC-130",0
"159","21ur-15622","1k-UNC-39",0
"160","21ur-15622","1k-UNC-62",2
"161","21ur-15622","1k-ZAG-1",0
"162","21ur-15622","1k-ZFP-2",1
"163","21ur-15622","1k-ZIP-2",1
"164","21ur-15622","1k-ZK546.5",1
"165","21ur-15622","1k-ZTF-11",0
"166","21ur-15622","1k-ZTF-7",1
"167","21ur-15622","400-43252",1
"168","21ur-15622","400-AHA-1",2
"169","21ur-15622","400-C05D10.1",0
"170","21ur-15622","400-CEH-32",0
"171","21ur-15622","400-CEH-38",1
"172","21ur-15622","400-CES-1",1
"173","21ur-15622","400-CEY-2",1
"174","21ur-15622","400-DAF-16",3
"175","21ur-15622","400-DPL-1",1
"176","21ur-15622","400-DUXL-1",1
"177","21ur-15622","400-DVE-1",2
"178","21ur-15622","400-EGL-27",1
"179","21ur-15622","400-F10B5.3",0
"180","21ur-15622","400-F37D6.2",1
"181","21ur-15622","400-F45C12.2",0
"182","21ur-15622","400-F49E8.2",0
"183","21ur-15622","400-FKH-10",1
"184","21ur-15622","400-FOS-1",0
"185","21ur-15622","400-HLH-30",2
"186","21ur-15622","400-LIN-13",1
"187","21ur-15622","400-LIN-15B",0
"188","21ur-15622","400-LIN-39",0
"189","21ur-15622","400-LIR-3",0
