gene_name
ABCB6
ACADVL
ADM
AK4
AK4P1
ALKBH5
AMPD3
ANG
ANGPTL4
ANKRD37
ANKZF1
ARRDC3
BCKDHA
BHLHE40
BNIP3
BNIP3L
BTG1
C4orf3
C4orf47
C8orf58
CA9
CCNG2
CRABP2
CSRP2
DARS
DARS-AS1
DDIT4
DLG4
DUSP1
EFEMP2
EFNA3
ERO1A
ERRFI1
FER1L4
FGF11
GALNT18
GPI
GPR146
GYS1
H1F0
HCFC1R1
HIF1A-AS2
HILPDA
HK2
IER3
IGFBP3
INSIG1
INSIG2
ITGA6-AS1
KDM3A
KLHL24
LAMB2
LDHAP4
LOX
LOXL2
LRP1
LUCAT1
MAFF
MAP2K1
MIR210HG
MPI
MXI1
NCKIPSD
NFIL3
P4HB
PAM
PCAT6
PDK1
PDK3
PFKFB3
PFKFB4
PFKL
PFKP
PGAM1
PGK1
PGM1
PIM1
PKM
PLOD1
PLOD2
PLXNA3
PNRC1
PPFIA4
PPP1R13L
PPP1R3B
PPP1R3C
PPP2R5B
PTPRF
RNASE4
SEC61G
SEMA4B
SERPINE1
SH3D21
SLC16A3
SLC2A1
SLC2A3
SLC6A6
SNX33
SPAG4
STC1
STC2
TMEM158
TMEM45A
TMEM91
TNFRSF10D
TNIP1
TPT1-AS1
TSC22D3
TXNIP
VEGFA
VIM
VKORC1
VLDLR
WDR54
WSB1
YPEL5
ZNF395
