"","logFC","logCPM","LR","PValue","FDR"
"WBGene00012590",10.832681163608,4.40661570170009,665.849562384196,7.98374820258801e-147,2.42839007828719e-143
"WBGene00015761",10.7359184395143,0.443558560345888,246.024933556738,1.91014930592726e-55,7.92277837117558e-53
"WBGene00001767",10.164088795867,6.44687976947669,1774.06227349469,0,0
"WBGene00000654",9.99476275264157,1.3732407610912,508.401691174651,1.41241382527735e-112,1.93324142334837e-109
"WBGene00013971",9.66645740361056,-0.799767578421711,138.470068222158,5.75158003444432e-32,1.03585199633496e-29
"WBGene00020244",9.59691857120129,-0.712852574081307,119.880728525527,6.71809007775582e-28,8.97110809163735e-26
"WBGene00004994",9.37176794624857,3.11046301289365,131.101422122233,2.35273230163659e-30,3.76643548288315e-28
"WBGene00015760",9.02539518123516,2.2590721489601,338.153807796917,1.61042902337511e-75,1.22459706985816e-72
"WBGene00005117",8.82572046579044,-1.20673722027373,128.607083113737,8.26648152604282e-30,1.2857666578149e-27
"WBGene00220138",8.69098984951573,-1.15091333738353,175.700710851398,4.20911840726889e-40,9.68274087386436e-38
"WBGene00010166",8.60501836616648,3.71137156139637,239.695124425677,4.58334111284527e-54,1.76716849245267e-51
"WBGene00019449",8.57192355973376,3.13987856794991,331.841670332082,3.81656296636242e-74,2.67893362061977e-71
"WBGene00019454",8.5545345332158,-1.52252579828911,92.789565121619,5.81610023379844e-22,5.70665748746353e-20
"WBGene00045069",8.53478286771615,-1.77271540792305,175.98827931673,3.64246392922443e-40,8.59590086745851e-38
"WBGene00012603",8.53441734959572,5.80633126383758,207.03663721815,6.08707969156111e-47,1.87228996130882e-44
"WBGene00001706",8.51740655881284,-1.16538590938719,94.1132596447455,2.97976484263626e-22,2.97704607909371e-20
"WBGene00007183",8.51714000636076,5.17268305062779,1222.37459394361,8.36975712976511e-268,7.63740338091066e-264
"WBGene00015762",8.41488657154627,1.45002170685913,310.705668628962,1.53285151099205e-69,9.32484669186833e-67
"WBGene00044212",8.33256097700546,0.613760891085479,290.018435983707,4.92650901179059e-65,2.69726368395535e-62
"WBGene00015757",8.31456485539664,1.27961526767489,244.990580305086,3.21056770369784e-55,1.3117804610258e-52
"WBGene00001387",8.26995293784236,8.34813767908265,260.071148711809,1.65579828793541e-58,7.43073412003802e-56
"WBGene00005814",8.23754465954487,-1.42509929708825,122.873215203385,1.48650533389018e-28,2.06563875711897e-26
"WBGene00019450",8.22364400117387,4.16044650694463,204.54859507927,2.12461825605652e-46,6.32189399560296e-44
