"","logFC","logCPM","LR","PValue","FDR"
"WBGene00001767",10.2989969042718,6.44687976947669,1812.65563730912,0,0
"WBGene00017019",-9.86659866567438,2.99342973327604,69.4424243776501,7.86780084019998e-17,1.13958226455277e-14
"WBGene00012590",9.83122827407038,4.40661570170009,557.56855238974,2.84146746238069e-123,1.11121673975245e-119
"WBGene00015761",9.4483664899506,0.443558560345888,159.333013959285,1.582627101351e-36,6.56430559083085e-34
"WBGene00005814",8.14900575606086,-1.42509929708825,108.902979642225,1.70426987895985e-25,4.44327504157391e-23
"WBGene00008538",8.13310701462256,7.26849522564815,1449.17506968155,4.33223931884126e-317,5.92975256766398e-313
"WBGene00001706",8.10016640384703,-1.16538590938719,76.9391289422032,1.76309144728848e-18,2.80608304473966e-16
"WBGene00220138",7.92676215410193,-1.15091333738353,103.797072503282,2.24136100977014e-24,5.52768086868987e-22
"WBGene00004994",7.89975988358521,3.11046301289365,101.273050750206,8.01386917967207e-24,1.90764929385672e-21
"WBGene00012603",7.87436132766386,5.80633126383758,185.372020383446,3.25524105163943e-42,1.68136271299301e-39
"WBGene00000654",7.85538083157919,1.3732407610912,233.080719928032,1.26913531858761e-52,9.65071648509332e-50
"WBGene00015760",7.79255960503056,2.2590721489601,250.376708044662,2.14938479344367e-56,1.89804544259743e-53
"WBGene00005117",7.78338587341319,-1.20673722027373,76.4767878945692,2.22816651315109e-18,3.50552059181098e-16
"WBGene00019563",-7.69437381425419,2.89758028746946,366.531762665071,1.06499205884803e-81,1.61967542283138e-78
"WBGene00000551",7.60353194401734,-2.1206017621517,38.2065389962699,6.36388035712985e-10,3.07793683350582e-08
"WBGene00012587",7.57329823487644,1.49942135798752,182.245923449402,1.56696942583721e-41,7.52557684777083e-39
"WBGene00001387",7.34500179728318,8.34813767908265,221.830211846644,3.60724019790042e-50,2.40849269311034e-47
"WBGene00015757",7.32735598936471,1.27961526767489,184.689612838512,4.58731427093205e-42,2.32551348456972e-39
"WBGene00015762",7.27060511081968,1.45002170685913,218.421795948469,1.99818480157606e-49,1.30238830817011e-46
"WBGene00019449",7.24126631868178,3.13987856794991,248.568805571057,5.32667850604466e-56,4.41872194251432e-53
"WBGene00015877",-7.1545002266568,-0.761504393556053,51.3888326006948,7.5768322749947e-13,6.86807230225099e-11
"WBGene00007183",7.08593523061961,5.17268305062779,897.227090536517,3.93204931476929e-197,2.69099624979524e-193
"WBGene00010149",7.04189429891183,-2.26068778833335,30.5745537317466,3.21279984819636e-08,1.00745012421965e-06
"WBGene00020244",7.00596810017988,-0.712852574081307,42.7859365646149,6.10696222364047e-11,3.74838768771654e-09
"WBGene00019454",6.99412088122878,-1.52252579828911,44.6345113723369,2.37468742927564e-11,1.6130786197623e-09
